id	output
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0xb801aecccfc5a0fb596c02e7d4ead6dbe3584169be8b4a46a71dfe4de8e6b52d"}	[{"salt": "69", "amount0": "4", "amount1": "8350", "ordinal": 0, "tickLower": 67320, "tickUpper": 70020, "liquidityDelta": "-7607406"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x9c03e5a6ae547d778efdcbf1188909aa946fc1b72bca75dab7259ee6d584fd3e"}	[{"salt": "62", "amount0": "210660884752196703", "amount1": "5171464", "ordinal": 0, "tickLower": -246780, "tickUpper": -244050, "liquidityDelta": "-4683017891600652"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x71ebcbd6aaff6e02a0e4a28b07ad47621ae31d6a8ad6e0873bdd5727469d7d62"}	[{"salt": "64", "amount0": "6014342100182023", "amount1": "145107", "ordinal": 0, "tickLower": -245880, "tickUpper": -244380, "liquidityDelta": "-727775805555199"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x2e74c6573b37bb3033b885d71ca0ef5b873d919e0b77467b3a2764005fd7eee2"}	[{"salt": "80", "amount0": "24073430288778", "amount1": "726", "ordinal": 0, "tickLower": -246690, "tickUpper": -238940, "liquidityDelta": "-7288147119959"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x8e743d0d15c444e1d4264fc65fa22c4de894f2e5d9fc6b08704fbf2ccf226782"}	[{"salt": "82", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -246366, "tickUpper": -243742, "liquidityDelta": "153857030564840"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x706161db43fa182a1f9e9aea947e6dcc0a417a463e2628c308674debd5d279cc"}	[{"salt": "82", "amount0": "0", "amount1": "610", "ordinal": 0, "tickLower": -246366, "tickUpper": -243742, "liquidityDelta": "-469709117001425"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0xd4bac39318a98ab9410b6110a2ef08aa56c184288e27a04979cadf4b16ab951a"}	[{"salt": "83", "amount0": "1209377984194368", "amount1": "28397", "ordinal": 0, "tickLower": -244134, "tickUpper": -243881, "liquidityDelta": "-4494339957341987"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0xcf6a70b4f163597bc03e29edccfe877cbc47e15bdbc6eebbb5dbb0242c5866aa"}	[{"salt": "13", "amount0": "1498500872235896", "amount1": "35681", "ordinal": 0, "tickLower": -246370, "tickUpper": -235380, "liquidityDelta": "-6972017732097"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0xc83163342e001e33485f2be3475273727456cbb639a973318b5fc4d1fabb3e80"}	[{"salt": "73", "amount0": "29726497779", "amount1": "0", "ordinal": 0, "tickLower": -887220, "tickUpper": 887220, "liquidityDelta": "0"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0xfc9f155d85ae199028b131d6407873910f792df2fa3f780b8f1c59b37fbd2f03"}	[{"salt": "73", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -887220, "tickUpper": 887220, "liquidityDelta": "0"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x6a3ddd335d287e54408af6e2bb927e25c9e61d8483fedbb2f704d435673e150f"}	[{"salt": "85", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -887220, "tickUpper": 887220, "liquidityDelta": "-253186365"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x60a7b3d3b46e7c0e4ddda055210e3ea1eb5c81934bfb115f7416d571345a1e54"}	[{"salt": "85", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -887220, "tickUpper": 887220, "liquidityDelta": "50538564"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x40c077da2548ac2b28175517aa3d8cadc0b75fbcf4d412d6ffa378df9dcdf27e"}	[{"salt": "86", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -356040, "tickUpper": -354180, "liquidityDelta": "-27611018757813617"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0xffc979ac9a16be72dfdf21ff32125d804240ea028dd3d95067b8dab03e8cd5dd"}	[{"salt": "33", "amount0": "30055673588048343", "amount1": "895", "ordinal": 0, "tickLower": -323220, "tickUpper": -301260, "liquidityDelta": "0"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x8153ffd7e5a0e8af20f58aed2baa77bf6f6783f2f2e0b276bfa733dcf992c00a"}	[{"salt": "33", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -323220, "tickUpper": -301260, "liquidityDelta": "13328900011"}]
